preset,anchor,z,H_code,H_phys
matter_only,SH0ES_73p0,0.3714259431891769,0.5992862347128218,128.08072197497864
matter_only,SH0ES_73p0,0.35272135155151174,0.585293840714166,125.09023792629196
matter_only,SH0ES_73p0,0.3342718679275669,0.5715934729180607,122.16216633544558
matter_only,SH0ES_73p0,0.3160740129524937,0.5581790435612043,119.29520611278694
matter_only,SH0ES_73p0,0.2981243547157717,0.5450445874484724,116.48808236419373
matter_only,SH0ES_73p0,0.2804195081139915,0.5321842593617894,113.73954583729223
matter_only,SH0ES_73p0,0.26295613421246045,0.5195923315168289,111.04837237789813
matter_only,SH0ES_73p0,0.24573093961551828,0.5072631910662245,108.4133623963973
matter_only,SH0ES_73p0,0.22874067584543956,0.4951913376479612,105.833340343783
matter_only,SH0ES_73p0,0.21198213872980665,0.4833713809776204,103.30715419706517
matter_only,SH0ES_73p0,0.19545216779723984,0.47179803848314145,100.83367495376686
matter_only,SH0ES_73p0,0.17914764568136743,0.4604661329807507,98.41179613521874
matter_only,SH0ES_73p0,0.16306549753292598,0.44937059039069605,96.04043329836111
matter_only,SH0ES_73p0,0.147202690439878,0.43850643749140755,93.71852355575834
matter_only,SH0ES_73p0,0.13155623285543894,0.4278687997106796,91.44502510352568
matter_only,SH0ES_73p0,0.11612317403390549,0.4174528989524448,89.21891675686271
matter_only,SH0ES_73p0,0.10090060347417729,0.40725405145767557,87.03919749288075
matter_only,SH0ES_73p0,0.0858856503708707,0.39726766569791166,84.90488600040315
matter_only,SH0ES_73p0,0.07107548307291545,0.3874892402998649,82.81502023640732
matter_only,SH0ES_73p0,0.05646730854953885,0.377914361999501,80.76865698876684
matter_only,SH0ES_73p0,0.04205837186353034,0.3685387036239358,78.76487144493804
matter_only,SH0ES_73p0,0.0278459556516919,0.35935802209941325,76.80275676622082
matter_only,SH0ES_73p0,0.013827379612374013,0.3503681564835496,74.88142366720575
matter_only,SH0ES_73p0,1.1102230246251565e-15,0.34156502601993777,73.0
vacuum_plus_matter,Planck_67p4,1.9590836273794663,0.9910774115646763,274.95208347886006
vacuum_plus_matter,Planck_67p4,1.9187253046084067,0.974139891599034,270.2531504296587
vacuum_plus_matter,Planck_67p4,1.8789174205616268,0.9574817354289774,265.6317205671395
vacuum_plus_matter,Planck_67p4,1.839652467920478,0.9410984139871732,261.08653740368084
vacuum_plus_matter,Planck_67p4,1.8009230417570605,0.9249854707843015,256.6163645867949
vacuum_plus_matter,Planck_67p4,1.762721838137737,0.9091385207540837,252.21998557870626
vacuum_plus_matter,Planck_67p4,1.725041652745693,0.8935532491165868,247.8962033410015
vacuum_plus_matter,Planck_67p4,1.6878753795222874,0.878225410259514,243.64384002426837
vacuum_plus_matter,Planck_67p4,1.651216009326923,0.8631508266372004,239.46173666264727
vacuum_plus_matter,Planck_67p4,1.615056628615208,0.8483253876870323,235.34875287321563
vacuum_plus_matter,Planck_67p4,1.5793904181351355,0.8337450487630148,231.30376656013095
vacuum_plus_matter,Planck_67p4,1.5442106516410514,0.8194058300862194,227.3256736234556
vacuum_plus_matter,Planck_67p4,1.5095106946251589,0.8053038157118418,223.41338767259083
vacuum_plus_matter,Planck_67p4,1.4752840030663266,0.7914351525126119,219.56583974424612
vacuum_plus_matter,Planck_67p4,1.4415241221959567,0.777796049178292,215.7819780248733
vacuum_plus_matter,Planck_67p4,1.4082246852806928,0.7643827752310163,212.06076757749392
vacuum_plus_matter,Planck_67p4,1.3753794124217218,0.7511916600562141,208.40119007285136
vacuum_plus_matter,Planck_67p4,1.3429821093704577,0.7382190919488772,204.80224352481886
