omega,X,alpha_eff,t_dp_s,t_grut_s,enhancement
28117.68697974225,3.71789895106772e+19,2.4114795398119637e-40,1.5801195939466587e-12,6.552490153285187e+27,4.146831783105137e+39
33932.217718953296,4.486733092789214e+19,1.655839640763379e-40,1.5801195939466587e-12,9.542709058578814e+27,6.039232153778959e+39
40949.15062380419,5.4145564768909476e+19,1.1369803768425136e-40,1.5801195939466587e-12,1.3897509808698532e+28,8.795226552432512e+39
49417.13361323838,6.534246908638021e+19,7.807062625514623e-41,1.5801195939466587e-12,2.0239617250956804e+28,1.2808914798913662e+40
59636.23316594637,7.885481081464634e+19,5.360710534685873e-41,1.5801195939466587e-12,2.9475935768638745e+28,1.8654243565840996e+40
71968.56730011514,9.516140537012176e+19,3.6809256970444374e-41,1.5801195939466587e-12,4.292723417958151e+28,2.716707921604992e+40
86851.13737513521,1.1484008367355884e+20,2.5275033784222106e-41,1.5801195939466587e-12,6.25170121407729e+28,3.9564734454449997e+40
104811.31341546852,1.3858816782765556e+20,1.7355072755380768e-41,1.5801195939466587e-12,9.104655544914142e+28,5.762004078547927e+40
126485.52168552957,1.6724718101410293e+20,1.1916840662447795e-41,1.5801195939466587e-12,1.3259551241008973e+29,8.3914858671492345e+40
152641.79671752302,2.0183266721549268e+20,8.182684876970089e-42,1.5801195939466587e-12,1.931052726219307e+29,1.2220927666595945e+41
184206.99693267164,2.4357017743626384e+20,5.6186311198056387e-42,1.5801195939466587e-12,2.8122856978041273e+29,1.7797929400899915e+41
222299.6482526191,2.9393869760929815e+20,3.858026568919773e-42,1.5801195939466587e-12,4.095667994295549e+29,2.5919987385675126e+41
268269.57952797273,3.547230570740108e+20,2.6491094875446537e-42,1.5801195939466587e-12,5.9647198478429216e+29,3.774853416597957e+41
323745.754281764,4.2807717474199994e+20,1.8190079699124766e-42,1.5801195939466587e-12,8.686710669127457e+29,5.4975020260527835e+41
390693.99370546127,5.166003841043216e+20,1.249019721594018e-42,1.5801195939466587e-12,1.265087785747759e+30,8.006278705701979e+41
471486.63634573895,6.234295416885458e+20,8.576379492201249e-43,1.5801195939466587e-12,1.8424086706791687e+30,1.1659931803499706e+42
568986.6029018293,7.523501828668867e+20,5.888961072638551e-43,1.5801195939466587e-12,2.683189062478699e+30,1.6980923929795135e+42
686648.8450042998,9.079306638674123e+20,4.043648318802543e-43,1.5801195939466587e-12,3.907658305988845e+30,2.47301427117216e+42
828642.7728546843,1.0956840433659735e+21,2.776566447709344e-43,1.5801195939466587e-12,5.690912224521948e+30,3.6015705686604253e+42
1000000.0,1.32226344e+21,1.9065261443973132e-43,1.5801195939466587e-12,8.287951353775757e+30,5.2451418142819e+42
