# canon_hash: 0590b719443d6302cb1d02f70d5f4c299bc4ebb27be6256e4eb385eb0e8936e5
# repro_hash: 53a297fb7b7e5e9f21d6d10f22b2195cb3482fde5751d0c6660aa21ebeff14d8
# output_digest: d888aac58cdbd266fa9b30b135d8eab536c4055f004dd5ae5673b6008da91a25
# preset: matter_only
# alpha_mem: 0.3333333333333333
# idx0: 299
# H0_code: 0.34156502601993227
z,H_code,E_z
0.983378413122262,1.110235551350331,3.2504368620150896
0.9761284830024712,1.103614883289487,3.2310535307121424
0.9689050538702852,1.0970312057307972,3.211778496510293
0.9617080288554818,1.0904843138480986,3.19261115973994
0.954537311441932,1.0839740039365833,3.173550924014472
0.947392805466307,1.0775000734066182,3.154597196212179
0.9402744151167881,1.0710623207776,3.1357493864582535
0.9331820449317811,1.0646605456718417,3.117006908106899
0.9261155997986381,1.0582945488084945,3.0983691777235323
0.9190749849523787,1.0519641319975002,3.0798356150670765
0.9120601059744229,1.0456690981335781,3.06140564307236
0.9050708687913218,1.039409251190244,3.043078687832602
0.8981071796734978,1.0331843962138607,3.024854178581997
0.8911689452339877,1.0269943393177228,3.0067315476783967
0.8842560724271888,1.0208388876761718,2.988710230586079
0.8773684685476129,1.0147178495187426,2.9707896658586117
0.8705060412286414,1.0086310341243434,2.952969295121814
0.863668698441288,1.0025782518154676,2.9352485630568084
0.8568563484929639,0.9965593139524325,2.917626917383156
0.850068900026248,0.9905740329276556,2.900103808842097
0.8433062620176626,0.9846222221599569,2.882678691179871
0.8365683437764515,0.9787036960888941,2.8653510211311306
0.8298550549433648,0.9728182701691281,2.848120258402447
0.8231663054894462,0.9669657608648191,2.8309858656559035
0.8165020057148271,0.9611459856440522,2.8139473084927724
0.8098620662475213,0.9553587629732941,2.79700405543729
0.80324639804223,0.9496039123118792,2.780155577920511
0.7966549123791438,0.9438812541065258,2.7634013502642536
0.7900875208627551,0.9381906097858806,2.746740849665129
0.7835441354206729,0.9325318017550953,2.7301735561786606
0.7770246683024407,0.9269046533904292,2.713698952703486
0.7705290320783598,0.9213089890338836,2.697316524965644
0.7640571396383176,0.9157446339878633,2.6810257615029482
0.7576089041906187,0.9102114145098681,2.664826153649443
0.7511842392608212,0.9047091578072116,2.648717195519944
0.744783058690577,0.8992376920317706,2.6326983839946627
0.7384052766364766,0.8937968462747593,2.616769218703911
0.7320508075688974,0.8883864505615354,2.600929202012893
0.7257195662708571,0.8830063358464314,2.5851778390065703
0.7194114678368706,0.8776563340076148,2.5695146374746183
0.7131264276718119,0.8723362778419764,2.5539391078964586
0.7068643614897789,0.8670460010600445,2.5384507634263684
0.7006251853129637,0.8617853382809274,2.5230491198786766
0.6944088154705259,0.856554125027284,2.507733695713036
0.6882151685974713,0.851352197720319,2.492504012019772
0.6820441616335331,0.8461793936748073,2.4773595925053167
0.6758957118220585,0.8410355510941431,2.462299963477712
0.669769736708898,0.8359205090654176,2.4473246538322013
0.6636661541413014,0.8308341075545208,2.4324331950368854
0.6575848822668142,0.8257761874012713,2.417625121118468
